Zipcode,Type,City,County,State
99159,Standard,Odessa,Lincoln County,WA
99160,Standard,Orient,Ferry County,WA
99161,Standard,Palouse,Whitman County,WA
99163,Standard,Pullman,Whitman County,WA
99164,Unique,Pullman,Whitman County,WA
99165,Standard,Pullman,Whitman County,WA
99166,Standard,Republic,Ferry County,WA
99167,Standard,Rice,Stevens County,WA
99169,Standard,Ritzville,Adams County,WA
99170,Standard,Rosalia,Whitman County,WA
99171,Standard,Saint John,Whitman County,WA
99173,Standard,Springdale,Stevens County,WA
99174,Po Box,Steptoe,Whitman County,WA
99176,Standard,Thornton,Whitman County,WA
99179,Standard,Uniontown,Whitman County,WA
99180,Standard,Usk,Pend Oreille County,WA
99181,Standard,Valley,Stevens County,WA
99185,Standard,Wilbur,Lincoln County,WA
99201,Standard,Spokane,Spokane County,WA
99202,Standard,Spokane,Spokane County,WA
99203,Standard,Spokane,Spokane County,WA
99204,Standard,Spokane,Spokane County,WA
99205,Standard,Spokane,Spokane County,WA
99206,Standard,Spokane,Spokane County,WA
99207,Standard,Spokane,Spokane County,WA
99208,Standard,Spokane,Spokane County,WA
99209,Po Box,Spokane,Spokane County,WA
99210,Po Box,Spokane,Spokane County,WA
99211,Po Box,Spokane,Spokane County,WA
99212,Standard,Spokane,Spokane County,WA
99213,Po Box,Spokane,Spokane County,WA
99214,Po Box,Spokane,Spokane County,WA
99215,Po Box,Spokane,Spokane County,WA
99216,Standard,Spokane,Spokane County,WA
99217,Standard,Spokane,Spokane County,WA
99218,Standard,Spokane,Spokane County,WA
99219,Po Box,Spokane,Spokane County,WA
99220,Po Box,Spokane,Spokane County,WA
99223,Standard,Spokane,Spokane County,WA
99224,Standard,Spokane,Spokane County,WA
99228,Po Box,Spokane,Spokane County,WA
99251,Unique,Spokane,Spokane County,WA
99252,Unique,Spokane,Spokane County,WA
99256,Unique,Spokane,Spokane County,WA
99258,Unique,Spokane,Spokane County,WA
99260,Unique,Spokane,Spokane County,WA
99299,Unique,Spokane,Spokane County,WA
99301,Standard,Pasco,Franklin County,WA
99302,Po Box,Pasco,Franklin County,WA
99320,Standard,Benton City,Benton County,WA
99321,Standard,Beverly,Grant County,WA
99322,Standard,Bickleton,Klickitat County,WA
99323,Standard,Burbank,Walla Walla County,WA
99324,Standard,College Place,Walla Walla County,WA
99326,Standard,Connell,Franklin County,WA
99328,Standard,Dayton,Columbia County,WA
99329,Standard,Dixie,Walla Walla County,WA
99330,Standard,Eltopia,Franklin County,WA
99333,Po Box,Hooper,Whitman County,WA
99335,Po Box,Kahlotus,Franklin County,WA
99336,Standard,Kennewick,Benton County,WA
99337,Standard,Kennewick,Benton County,WA
99338,Standard,Kennewick,Benton County,WA
99341,Standard,Lind,Adams County,WA
99343,Standard,Mesa,Franklin County,WA
99344,Standard,Othello,Adams County,WA
99345,Po Box,Paterson,Benton County,WA
99346,Po Box,Plymouth,Benton County,WA
99347,Standard,Pomeroy,Garfield County,WA
99348,Standard,Prescott,Walla Walla County,WA
99349,Standard,Mattawa,Grant County,WA
99350,Standard,Prosser,Benton County,WA
99352,Standard,Richland,Benton County,WA
99353,Standard,West Richland,Benton County,WA
99354,Standard,Richland,Benton County,WA
99356,Standard,Roosevelt,Klickitat County,WA
99357,Standard,Royal City,Grant County,WA
99359,Po Box,Starbuck,Columbia County,WA
99360,Standard,Touchet,Walla Walla County,WA
99361,Standard,Waitsburg,Walla Walla County,WA
99362,Standard,Walla Walla,Walla Walla County,WA
99363,Po Box,Wallula,Walla Walla County,WA
99371,Standard,Washtucna,Adams County,WA
99401,Standard,Anatone,Asotin County,WA
99402,Standard,Asotin,Asotin County,WA
99403,Standard,Clarkston,Asotin County,WA
